City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
598,Paramonga,PE,-10.6667,-77.8333,70.32,74,97,9.48,overcast clouds
599,Talcahuano,CL,-36.7167,-73.1167,64.08,55,0,9.22,clear sky
600,Nabire,ID,-3.3667,135.4833,76.24,89,100,2.91,moderate rain
601,Erenhot,CN,43.6475,111.9767,23.41,55,0,18.34,clear sky
602,Monywa,MM,22.1167,95.1333,68.05,78,11,4.94,few clouds
603,Verkhnevilyuysk,RU,63.4453,120.3167,-28.05,100,99,3.02,overcast clouds
604,Lubumbashi,CD,-11.6609,27.4794,71.37,60,100,4.36,overcast clouds
605,Reporoa,NZ,-38.4333,176.35,59.41,69,100,3.69,overcast clouds
606,Changping,CN,40.2186,116.2197,26.24,35,99,4.85,overcast clouds
607,Najran,SA,17.4924,44.1277,63.25,28,0,1.25,clear sky
608,Nanning,CN,22.8167,108.3167,46.85,48,100,3.11,overcast clouds
609,Contamana,PE,-7.3333,-75.0167,93.69,38,85,7.45,overcast clouds
610,Nanortalik,GL,60.1432,-45.2371,34.29,98,100,28.43,moderate rain
611,Itarema,BR,-2.9248,-39.9167,84.9,67,90,16.84,overcast clouds
612,Garmsar,IR,35.2182,52.3409,57.25,43,100,4.07,overcast clouds
613,Slave Lake,CA,55.2834,-114.769,37.38,65,1,12.66,clear sky
614,Santa Rosa,PH,14.3122,121.1114,79.86,66,100,11.27,overcast clouds
615,Villa Carlos Paz,AR,-31.4241,-64.4978,80.24,34,88,8.99,overcast clouds
616,Ritchie,ZA,-29.038,24.6028,79.81,14,84,7.34,broken clouds
617,Morant Bay,JM,17.8815,-76.4093,91.02,69,35,12.59,scattered clouds
618,Havre-Saint-Pierre,CA,50.2334,-63.5986,27.19,58,90,6.91,overcast clouds
619,Zabol,AF,32.25,67.25,40.78,39,0,1.28,clear sky
620,Ipameri,BR,-17.7219,-48.1597,80.71,68,73,8.05,broken clouds
621,Tambopata,PE,-12.7333,-69.1833,84.09,74,40,5.75,scattered clouds
622,Maxixe,MZ,-23.8597,35.3472,75.02,83,40,4.61,scattered clouds
623,Ambilobe,MG,-13.2,49.05,77.29,70,0,3.98,clear sky
624,Faya,SA,18.3851,42.4509,57.31,34,0,2.59,clear sky
625,Dukat,RU,62.55,155.55,-29.7,98,100,2.73,overcast clouds
626,Marawi,PH,7.9986,124.2928,67.64,90,100,1.14,overcast clouds
627,Druzhba,UA,52.0428,33.9453,27.21,80,100,11.88,overcast clouds
628,Iralaya,HN,15.0,-83.2333,86.09,73,53,10.89,broken clouds
629,Aquiraz,BR,-3.9014,-38.3911,89.22,59,100,12.5,overcast clouds
630,Ust-Nera,RU,64.5667,143.2,-43.67,99,47,4.14,scattered clouds
631,Sapulpa,US,35.9987,-96.1142,67.91,42,1,4.61,clear sky
632,Gull Lake,CA,50.1001,-108.4847,41.36,84,100,10.96,overcast clouds
633,Xapuri,BR,-10.6517,-68.5044,90.25,47,100,3.4,overcast clouds
634,The Pas,CA,53.8251,-101.2541,19.42,93,90,9.22,light snow
635,Abu Samrah,SY,35.3029,37.1841,54.54,67,17,14.18,few clouds
636,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,37,0,12.66,clear sky
637,Irtyshskiy,RU,58.3333,68.1333,35.67,86,100,14.61,overcast clouds
638,Kismayo,SO,-0.3582,42.5454,80.87,74,100,11.63,overcast clouds
639,Lovozero,RU,68.005,35.0117,21.88,91,100,22.73,light snow
640,Bandarbeyla,SO,9.4942,50.8122,77.94,60,0,20.51,clear sky
641,Purranque,CL,-40.9167,-73.1667,58.33,80,100,4.61,overcast clouds
642,Bereda,ES,43.2686,-7.5406,49.75,100,100,5.55,overcast clouds
643,Baker City,US,44.7749,-117.8344,58.64,93,1,0.0,clear sky
644,Mafinga,TZ,-7.25,35.0667,76.5,51,51,8.39,broken clouds
645,Bardiyah,LY,31.7561,25.0865,62.02,63,97,12.01,overcast clouds
646,Northam,GB,51.0333,-4.2167,46.62,76,98,21.32,overcast clouds
647,Wewak,PG,-3.5534,143.6268,78.55,86,99,3.94,overcast clouds
648,Guanica,PR,17.9716,-66.908,88.43,67,99,8.99,overcast clouds
649,Bowen,AU,-20.0167,148.2333,73.62,83,0,5.68,clear sky
650,Nortelandia,BR,-14.4547,-56.8028,86.76,65,100,3.15,overcast clouds
651,Ostrovnoy,RU,68.0531,39.5131,25.11,87,100,35.48,light snow
652,Naryan-Mar,RU,67.6713,53.087,11.53,94,100,19.19,light snow
653,Mikhaylovskoye,RU,51.8239,79.7172,19.78,82,5,8.3,clear sky
654,Moree,AU,-29.4667,149.85,66.22,88,0,8.05,clear sky
655,Campos,BR,-21.75,-41.3,86.05,62,75,11.5,broken clouds
656,Yamada,JP,39.4667,141.95,36.12,72,33,13.2,scattered clouds
657,Gondomar,PT,41.1445,-8.5322,53.04,84,20,13.0,few clouds
658,Bilibino,RU,68.0546,166.4372,-17.73,100,100,2.68,overcast clouds
659,Naze,JP,28.3667,129.4833,57.24,65,100,18.43,overcast clouds
660,Maarianhamina,AX,60.0973,19.9348,17.46,93,0,2.3,clear sky
661,Atasu,KZ,48.6814,71.6433,16.81,82,57,5.5,broken clouds
662,Tibati,CM,6.4667,12.6333,79.61,26,58,6.29,broken clouds
663,Zelenoborskiy,RU,66.845,32.3622,20.55,83,100,16.49,overcast clouds
664,Kohlu,PK,29.8962,69.252,50.9,38,0,2.28,clear sky
665,Hastings,GB,50.8552,0.5729,45.28,84,51,18.12,broken clouds
666,Byron Bay,AU,-28.65,153.6167,69.87,90,100,8.63,overcast clouds
