City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Mogadishu,SO,2021-11-10 18:05:22,2.0371,45.3438,79.81,76,7,13.8
193,Severnyy-Kospashskiy,RU,2021-11-10 18:05:23,59.0925,57.8008,5.05,100,100,2.17
194,Rio Tuba,PH,2021-11-10 18:05:23,8.5061,117.4317,81.9,81,94,12.82
195,Kodiak,US,2021-11-10 18:05:23,57.79,-152.4072,22.51,80,90,4.61
196,Heidelberg,ZA,2021-11-10 18:05:24,-26.5048,28.3592,70.79,42,60,5.86
197,Whyalla,AU,2021-11-10 18:05:24,-33.0333,137.5833,55.29,67,90,23.02
198,Amga,RU,2021-11-10 18:01:25,60.8953,131.9608,10.78,98,98,3.85
199,Longyearbyen,SJ,2021-11-10 18:05:24,78.2186,15.6401,15.91,86,100,8.57
200,Praia,CV,2021-11-10 18:05:25,14.9215,-23.5087,78.22,70,63,10.25
201,Kapaa,US,2021-11-10 18:05:25,22.0752,-159.319,75.18,70,75,5.75
202,Wundanyi,KE,2021-11-10 18:05:25,-3.4019,38.364,67.19,73,85,7.54
203,Fuyang,CN,2021-11-10 18:00:26,32.9,115.8167,45.63,59,0,5.93
204,Lakatoro,VU,2021-11-10 18:05:26,-16.0999,167.4164,78.6,85,82,7.14
205,Aykhal,RU,2021-11-10 18:05:26,66.0,111.5,5.25,97,96,6.73
206,Salym,RU,2021-11-10 18:05:27,60.0625,71.4789,22.05,89,100,8.63
207,Isangel,VU,2021-11-10 18:05:27,-19.55,169.2667,74.71,87,71,6.82
208,Belen,TR,2021-11-10 18:05:28,36.4891,36.2233,55.54,48,20,16.11
209,Itoman,JP,2021-11-10 18:05:28,26.1247,127.6694,66.22,48,20,12.66
210,Uige,AO,2021-11-10 18:05:28,-7.6087,15.0613,68.59,94,99,1.39
211,Klaksvik,FO,2021-11-10 18:05:29,62.2266,-6.589,38.32,87,99,27.38
212,Arlit,NE,2021-11-10 18:05:29,18.7369,7.3853,85.91,12,4,9.13
213,Torbay,CA,2021-11-10 18:03:19,47.6666,-52.7314,49.57,64,66,4.0
214,Berdigestyakh,RU,2021-11-10 18:05:29,62.0989,126.6992,-4.92,100,76,3.15
215,Damietta,EG,2021-11-10 18:05:30,31.4165,31.8133,72.95,58,96,11.27
216,Tromso,NO,2021-11-10 18:01:01,69.6496,18.957,39.38,81,75,4.0
217,Boca Do Acre,BR,2021-11-10 18:05:30,-8.7522,-67.3978,86.45,60,95,5.26
218,Cap Malheureux,MU,2021-11-10 18:01:10,-19.9842,57.6142,74.46,73,8,4.0
219,Lorengau,PG,2021-11-10 18:05:31,-2.0226,147.2712,82.94,73,36,12.21
220,Vilyuysk,RU,2021-11-10 18:05:31,63.7553,121.6247,-11.6,100,53,3.49
221,Caucaia,BR,2021-11-10 18:05:32,-3.7361,-38.6531,85.95,70,0,16.11
